Country Group,Country,ISO,indicator code,Subject Descriptor,Units,Scale,2019,2020,2021,2022,FY,latitude,longitude
Emerging Africa ,Lesotho,LSO,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1159,1035,1219,1166,2016.0,-29.609988,28.233608
Emerging Africa ,Lesotho,LSO,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,6,6,6,6,2021.0,-29.609988,28.233608
Emerging Africa ,Lesotho,LSO,NID_NGDP,Total investment,Percent of GDP,,25,28,23,23,2021.0,-29.609988,28.233608
Emerging Africa ,Lesotho,LSO,PCPIPCH,"Inflation, average consumer prices",Percent change,,5,5,6,8,2021.0,-29.609988,28.233608
Emerging Africa ,Lesotho,LSO,LP,Population,Persons,Millions,2,2,2,2,2016.0,-29.609988,28.233608
Emerging Africa ,Liberia,LBR,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,624,600,677,749,2020.0,6.428055,-9.429499
Emerging Africa ,Liberia,LBR,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,624,600,677,749,2020.0,6.428055,-9.429499
Emerging Africa ,Liberia,LBR,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,0,0,0,0,2021.0,6.428055,-9.429499
Emerging Africa ,Liberia,LBR,NID_NGDP,Total investment,Percent of GDP,,0,0,0,0,,6.428055,-9.429499
Emerging Africa ,Liberia,LBR,PCPIPCH,"Inflation, average consumer prices",Percent change,,27,17,8,8,2021.0,6.428055,-9.429499
Emerging Africa ,Liberia,LBR,LP,Population,Persons,Millions,5,5,5,5,2020.0,6.428055,-9.429499
Emerging Africa ,Malawi,MWI,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,405143,422331,464571,534154,2016.0,-13.254308,34.301525
Emerging Africa ,Malawi,MWI,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,544,568,581,567,2016.0,-13.254308,34.301525
Emerging Africa ,Malawi,MWI,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,275,289,299,328,2022.0,-13.254308,34.301525
Emerging Africa ,Malawi,MWI,NID_NGDP,Total investment,Percent of GDP,,8,8,9,13,2022.0,-13.254308,34.301525
Emerging Africa ,Malawi,MWI,PCPIPCH,"Inflation, average consumer prices",Percent change,,9,9,9,21,2022.0,-13.254308,34.301525
Emerging Africa ,Malawi,MWI,LP,Population,Persons,Millions,20,21,21,22,2016.0,-13.254308,34.301525
Emerging Africa ,Mauritius,MUS,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,404677,354333,378575,451859,2021.0,-20.348404,57.552152
Emerging Africa ,Mauritius,MUS,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,11408,9005,9080,10227,2021.0,-20.348404,57.552152
Emerging Africa ,Mauritius,MUS,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,16,17,16,17,2022.0,-20.348404,57.552152
Emerging Africa ,Mauritius,MUS,NID_NGDP,Total investment,Percent of GDP,,19,18,20,20,2022.0,-20.348404,57.552152
Emerging Africa ,Mauritius,MUS,PCPIPCH,"Inflation, average consumer prices",Percent change,,0,3,4,11,2022.0,-20.348404,57.552152
Emerging Africa ,Mauritius,MUS,LP,Population,Persons,Millions,1,1,1,1,2021.0,-20.348404,57.552152
Emerging Africa ,Namibia,NAM,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,73695,69572,72127,79431,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NAM,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,5099,4226,4879,4854,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NAM,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,7,7,7,7,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NAM,NID_NGDP,Total investment,Percent of GDP,,13,12,14,13,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NAM,PCPIPCH,"Inflation, average consumer prices",Percent change,,4,2,4,6,2022.0,-22.95764,18.49041
Emerging Africa ,Namibia,NAM,LP,Population,Persons,Millions,2,3,3,3,2022.0,-22.95764,18.49041
Emerging Africa ,Niger,NER,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,324653,326809,329108,368624,2009.0,17.607789,8.081666
Emerging Africa ,Niger,NER,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,554,569,594,592,2009.0,17.607789,8.081666
Emerging Africa ,Niger,NER,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,254,253,250,243,2021.0,17.607789,8.081666
Emerging Africa ,Niger,NER,NID_NGDP,Total investment,Percent of GDP,,30,31,32,31,2021.0,17.607789,8.081666
Emerging Africa ,Niger,NER,PCPIPCH,"Inflation, average consumer prices",Percent change,,-3,3,4,4,2022.0,17.607789,8.081666
Emerging Africa ,Niger,NER,LP,Population,Persons,Millions,23,24,25,26,2009.0,17.607789,8.081666
Emerging Africa ,Senegal,SEN,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,240,240,234,237,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,SEN,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,841464,842156,888637,976921,2020.0,14.497401,-14.452362
Emerging Africa ,Senegal,SEN,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1436,1465,1603,1570,2020.0,14.497401,-14.452362
Emerging Africa ,Senegal,SEN,NID_NGDP,Total investment,Percent of GDP,,32,35,35,47,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,SEN,PCPIPCH,"Inflation, average consumer prices",Percent change,,1,3,2,10,2021.0,14.497401,-14.452362
Emerging Africa ,Senegal,SEN,LP,Population,Persons,Millions,16,17,17,18,2020.0,14.497401,-14.452362
Emerging Africa ,Tanzania,TZA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,1078,1130,1171,1253,2012.0,-6.369028,34.888822
Emerging Africa ,Tanzania,TZA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,2479327,2606268,2704278,2901039,2012.0,-6.369028,34.888822
Emerging Africa ,Tanzania,TZA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,873,890,867,855,2021.0,-6.369028,34.888822
Emerging Africa ,Tanzania,TZA,NID_NGDP,Total investment,Percent of GDP,,40,39,40,37,2021.0,-6.369028,34.888822
Emerging Africa ,Tanzania,TZA,PCPIPCH,"Inflation, average consumer prices",Percent change,,3,3,4,4,2022.0,-6.369028,34.888822
Emerging Africa ,Tanzania,TZA,LP,Population,Persons,Millions,56,58,60,62,2012.0,-6.369028,34.888822
Emerging Africa ,Nigeria,NGA,NGDPPC,"Gross domestic product per capita, current prices",National currency,Units,724703,748289,832898,933646,2012.0,9.081999,8.675277
Emerging Africa ,Nigeria,NGA,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,Units,2230,2083,2088,2202,2012.0,9.081999,8.675277
Emerging Africa ,Nigeria,NGA,PPPEX,Implied PPP conversion rate,National currency per current international dollar,,135,144,152,158,2022.0,9.081999,8.675277
Emerging Africa ,Nigeria,NGA,NID_NGDP,Total investment,Percent of GDP,,25,27,27,20,2022.0,9.081999,8.675277
Emerging Africa ,Nigeria,NGA,PCPIPCH,"Inflation, average consumer prices",Percent change,,11,13,17,19,2022.0,9.081999,8.675277
