Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Latin America,Grenada,NGDPD,GRD,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2021.0,12.262776,-61.604171
Emerging Latin America,Grenada,PPPEX,GRD,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2021.0,12.262776,-61.604171
Emerging Latin America,Grenada,NID_NGDP,GRD,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,25,32,28,31,2021.0,12.262776,-61.604171
Emerging Latin America,Grenada,PCPIPCH,GRD,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-1,1,3,2021.0,12.262776,-61.604171
Emerging Latin America,Grenada,LP,GRD,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,0,0,0,0,2022.0,12.262776,-61.604171
Emerging Latin America,Guatemala,NGDP,GTM,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank. Also use data from Haver. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2023",594,600,666,736,2022.0,15.783471,-90.230759
Emerging Latin America,Guatemala,NGDPD,GTM,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",77,78,86,95,2022.0,15.783471,-90.230759
Emerging Latin America,Guatemala,PPPEX,GTM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",4,4,4,4,2022.0,15.783471,-90.230759
Emerging Latin America,Guatemala,NID_NGDP,GTM,Total investment,Percent of GDP,,"Source: Central Bank. Also use data from Haver. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2023",14,14,17,17,2022.0,15.783471,-90.230759
Emerging Latin America,Guatemala,PCPIPCH,GTM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,4,7,2022.0,15.783471,-90.230759
Emerging Latin America,Guatemala,LP,GTM,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Guatemalan quetzal Data last updated: 09/2023,18,18,18,19,2020.0,15.783471,-90.230759
Emerging Latin America,Guyana,NGDP,GUY,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 09/2023",1079,1141,1597,3029,2021.0,4.860416,-58.93018
Emerging Latin America,Guyana,NGDPD,GUY,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5,5,8,15,2021.0,4.860416,-58.93018
Emerging Latin America,Guyana,PPPEX,GUY,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",101,74,82,90,2021.0,4.860416,-58.93018
Emerging Latin America,Guyana,NID_NGDP,GUY,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 09/2023",13,9,9,10,2021.0,4.860416,-58.93018
Emerging Latin America,Guyana,PCPIPCH,GUY,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,3,6,2021.0,4.860416,-58.93018
Emerging Latin America,Guyana,LP,GUY,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2019 Primary domestic currency: Guyanese dollar Data last updated: 09/2023,1,1,1,1,2019.0,4.860416,-58.93018
Emerging Latin America,Mexico,NGDP,MEX,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2023,25143,24080,26609,29504,2022.0,23.634501,-102.552784
Emerging Latin America,Mexico,NGDPD,MEX,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1305,1121,1313,1466,2022.0,23.634501,-102.552784
Emerging Latin America,Mexico,PPPEX,MEX,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",9,10,10,10,2022.0,23.634501,-102.552784
Emerging Latin America,Mexico,NID_NGDP,MEX,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2023,22,20,21,23,2022.0,23.634501,-102.552784
Emerging Latin America,Mexico,PCPIPCH,MEX,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,6,8,2022.0,23.634501,-102.552784
Emerging Latin America,Mexico,LP,MEX,Population,Persons,Millions,Source: National Population Statistics Office (CONAPO) Latest actual data: 2020 Primary domestic currency: Mexican peso Data last updated: 09/2023,127,128,129,130,2020.0,23.634501,-102.552784
Emerging Latin America,Haiti,NGDP,HTI,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 09/2023,1244,1450,1699,2168,2021.0,18.971187,-72.285215
Emerging Latin America,Haiti,NGDPD,HTI,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15,15,21,21,2021.0,18.971187,-72.285215
Emerging Latin America,Haiti,PPPEX,HTI,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",34,41,47,57,2021.0,18.971187,-72.285215
Emerging Latin America,Haiti,NID_NGDP,HTI,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 09/2023,20,18,18,16,2021.0,18.971187,-72.285215
Emerging Latin America,Haiti,PCPIPCH,HTI,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17,23,16,28,2022.0,18.971187,-72.285215
Emerging Latin America,Haiti,LP,HTI,Population,Persons,Millions,Source: National Statistics Office. Authorities official data Latest actual data: 2003 Primary domestic currency: Haitian gourde Data last updated: 09/2023,12,12,12,12,2003.0,18.971187,-72.285215
Emerging Latin America,Honduras,NGDP,HND,"Gross domestic product, current prices",National currency,Billions,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2023,615,586,684,777,2022.0,15.199999,-86.241905
Emerging Latin America,Honduras,NGDPD,HND,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25,24,28,32,2022.0,15.199999,-86.241905
Emerging Latin America,Honduras,PPPEX,HND,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",11,11,11,11,2022.0,15.199999,-86.241905
Emerging Latin America,Honduras,NID_NGDP,HND,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2023,23,19,24,24,2022.0,15.199999,-86.241905
Emerging Latin America,Honduras,PCPIPCH,HND,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,4,9,2022.0,15.199999,-86.241905
Emerging Latin America,Honduras,LP,HND,Population,Persons,Millions,"Source: World Development Indicators, The World Bank Latest actual data: 2022 Primary domestic currency: Honduran lempira Data last updated: 09/2023",10,10,10,10,2022.0,15.199999,-86.241905
Emerging Latin America,Jamaica,NGDP,JAM,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. CY data are constructed from quarterly data. Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 08/2023,2110,1967,2210,2623,2022.0,18.109581,-77.297508
Emerging Latin America,Jamaica,NGDPD,JAM,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16,14,15,17,2022.0,18.109581,-77.297508
Emerging Latin America,Jamaica,PPPEX,JAM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",70,72,74,78,2022.0,18.109581,-77.297508
Emerging Latin America,Jamaica,NID_NGDP,JAM,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. CY data are constructed from quarterly data. Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 08/2023,24,20,19,24,2022.0,18.109581,-77.297508
Emerging Latin America,Jamaica,PCPIPCH,JAM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,5,6,10,2022.0,18.109581,-77.297508
Emerging Latin America,Jamaica,LP,JAM,Population,Persons,Millions,Source: International Financial Institution. National Statistics Office if data is not yet available in IFS. Latest actual data: 2019 Primary domestic currency: Jamaican dollar Data last updated: 08/2023,3,3,3,3,2019.0,18.109581,-77.297508
Emerging Latin America,Nicaragua,NGDP,NIC,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2022. Real sector indicators may be lagged by one or two quarters Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023",421,435,498,562,2022.0,12.865416,-85.207229
Emerging Latin America,Nicaragua,NGDPD,NIC,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13,13,14,16,2022.0,12.865416,-85.207229
Emerging Latin America,Nicaragua,PPPEX,NIC,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",11,12,12,12,2022.0,12.865416,-85.207229
Emerging Latin America,Nicaragua,NID_NGDP,NIC,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022. Real sector indicators may be lagged by one or two quarters Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023",18,19,23,22,2022.0,12.865416,-85.207229
Emerging Latin America,Nicaragua,PCPIPCH,NIC,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,4,5,10,2022.0,12.865416,-85.207229
Emerging Latin America,Nicaragua,LP,NIC,Population,Persons,Millions,Source: Central Bank Latest actual data: 2020 Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023,7,6,7,7,2020.0,12.865416,-85.207229
Emerging Latin America,Suriname,NGDPD,SUR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4,3,3,4,2021.0,3.919305,-56.027783
Emerging Latin America,Suriname,NGDP,SUR,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Surinamese dollar Data last updated: 09/2023",31,38,59,86,2021.0,3.919305,-56.027783
Emerging Latin America,Suriname,PPPEX,SUR,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3,4,6,8,2021.0,3.919305,-56.027783
Emerging Latin America,Suriname,NID_NGDP,SUR,Total investment,Percent of GDP,,,0,0,0,0,,3.919305,-56.027783
Emerging Latin America,Suriname,PCPIPCH,SUR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,35,59,52,2021.0,3.919305,-56.027783
Emerging Latin America,Suriname,LP,SUR,Population,Persons,Millions,Source: National Statistics Office. Data published by the National Statistics Office (National Accounts Tables). Latest actual data: 2021 Notes: As published by the Central Bank of Suriname Primary domestic currency: Surinamese dollar Data last updated: 09/2023,1,1,1,1,2021.0,3.919305,-56.027783
Emerging Latin America,Panama,NGDP,PAN,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018. The deflator in base year 2018 is not exactly 100 because of data splicing. In February 2023 the authorities published new national accounts with a base year of 2018. The new methodology uses chain-linked volume measures as opposed to constant prices. The authorities did not publish data for years before 2018 for the re-based series, but the team extended the series using the growth rates of the previous series with base 2007. Chain-weighted: Yes, from 2018 Primary domestic currency: US dollar Data last updated: 09/2023",70,57,67,77,2022.0,8.537981,-80.782127
Emerging Latin America,Panama,NGDPD,PAN,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",70,57,67,77,2022.0,8.537981,-80.782127
Emerging Latin America,Panama,PPPEX,PAN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0,8.537981,-80.782127
Emerging Latin America,Panama,NID_NGDP,PAN,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018. The deflator in base year 2018 is not exactly 100 because of data splicing. In February 2023 the authorities published new national accounts with a base year of 2018. The new methodology uses chain-linked volume measures as opposed to constant prices. The authorities did not publish data for years before 2018 for the re-based series, but the team extended the series using the growth rates of the previous series with base 2007. Chain-weighted: Yes, from 2018 Primary domestic currency: US dollar Data last updated: 09/2023",38,25,32,34,2022.0,8.537981,-80.782127
Emerging Latin America,Panama,PCPIPCH,PAN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,-2,2,3,2022.0,8.537981,-80.782127
Emerging Latin America,Panama,LP,PAN,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: US dollar Data last updated: 09/2023,4,4,4,4,2022.0,8.537981,-80.782127
Emerging Latin America,Uruguay,NGDP,URY,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2022 Notes: Data for years between 2016 and last actual for these series are reported by national authorities. Data prior to 2016 are the staff's estimates, representing best effort to preserve the previously reported growth rates and avoid structural breaks. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Uruguayan peso Data last updated: 08/2023",2188,2255,2675,2930,2022.0,-32.522779,-55.765835
Emerging Latin America,Uruguay,NGDPD,URY,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62,54,61,71,2022.0,-32.522779,-55.765835
Emerging Latin America,Uruguay,PPPEX,URY,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",26,28,30,30,2022.0,-32.522779,-55.765835
Emerging Latin America,Uruguay,NID_NGDP,URY,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022 Notes: Data for years between 2016 and last actual for these series are reported by national authorities. Data prior to 2016 are the staff's estimates, representing best effort to preserve the previously reported growth rates and avoid structural breaks. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Uruguayan peso Data last updated: 08/2023",14,16,19,19,2022.0,-32.522779,-55.765835
Emerging Latin America,Uruguay,PCPIPCH,URY,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8,10,8,9,2022.0,-32.522779,-55.765835
Emerging Latin America,Uruguay,LP,URY,Population,Persons,Millions,Source: National Statistics Office. And World Bank World Development Indicators. Latest actual data: 2015 Primary domestic currency: Uruguayan peso Data last updated: 08/2023,4,4,4,4,2015.0,-32.522779,-55.765835
Emerging Latin America,Venezuela,NGDP,VEN,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2018. Latest year for real accounts is 2018. Starting 2012, staff elaborates its own nominal GDP accounts estimates. Notes: Due to the prevalence of multiple exchange rates and a parallel market, for 2012-2022, staff has computed a generalized unitary exchange rate weighted by the value of imports and exports as well as by the different windows used to acquire foreign exchange. Starting in 2012, staff estimates the nominal GDP in local currency using real GDP levels published by the country and deflators calculated by staff. Nominal GDP in U.S. dollars is calculated dividing the local currency GDP by the generalized unitary exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023",1,14,189,643,2018.0,6.42375,-66.58973
Emerging Latin America,Venezuela,NGDPD,VEN,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",73,44,58,92,2018.0,6.42375,-66.58973
Emerging Latin America,Venezuela,PPPEX,VEN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,1,3,2018.0,6.42375,-66.58973
Emerging Latin America,Venezuela,NID_NGDP,VEN,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2018. Latest year for real accounts is 2018. Starting 2012, staff elaborates its own nominal GDP accounts estimates. Notes: Due to the prevalence of multiple exchange rates and a parallel market, for 2012-2022, staff has computed a generalized unitary exchange rate weighted by the value of imports and exports as well as by the different windows used to acquire foreign exchange. Starting in 2012, staff estimates the nominal GDP in local currency using real GDP levels published by the country and deflators calculated by staff. Nominal GDP in U.S. dollars is calculated dividing the local currency GDP by the generalized unitary exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023",0,0,0,0,2018.0,6.42375,-66.58973
Emerging Latin America,Venezuela,PCPIPCH,VEN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19906,2355,1589,187,2022.0,6.42375,-66.58973
Emerging Latin America,Venezuela,LP,VEN,Population,Persons,Millions,Source: Ministry of Economy and/or Planning Latest actual data: 2010 Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023,28,28,28,27,2010.0,6.42375,-66.58973
Emerging Middle East,Afghanistan,NGDP,AFG,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. For 2021-22, the data source is the National Statistics and Information Authority and IMF Staff Estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Prior to 2016, national accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. From 2016, data is compiled on a new fiscal year basis that runs from December 21 to December 20. Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 09/2023",1470,1547,1233,0,2021.0,33.93911,67.709953
Emerging Middle East,Afghanistan,NGDPD,AFG,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19,20,15,0,2021.0,33.93911,67.709953
Emerging Middle East,Afghanistan,PPPEX,AFG,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",18,19,18,0,2021.0,33.93911,67.709953
Emerging Middle East,Afghanistan,NID_NGDP,AFG,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. For 2021-22, the data source is the National Statistics and Information Authority and IMF Staff Estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Prior to 2016, national accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. From 2016, data is compiled on a new fiscal year basis that runs from December 21 to December 20. Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 09/2023",18,16,0,0,2021.0,33.93911,67.709953
Emerging Middle East,Afghanistan,PCPIPCH,AFG,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,6,5,14,2022.0,33.93911,67.709953
Emerging Middle East,Afghanistan,LP,AFG,Population,Persons,Millions,Source: Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Afghan afghani Data last updated: 09/2023,32,33,34,34,2022.0,33.93911,67.709953
Emerging Middle East,Bahrain,PCPIPCH,BHR,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-2,-1,4,2022.0,25.930414,50.637772
Emerging Middle East,Bahrain,NGDP,BHR,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2023,15,13,15,17,2022.0,25.930414,50.637772
Emerging Middle East,Bahrain,NGDPD,BHR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",39,35,39,44,2022.0,25.930414,50.637772
Emerging Middle East,Bahrain,PPPEX,BHR,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0,25.930414,50.637772
Emerging Middle East,Bahrain,NID_NGDP,BHR,Total investment,Percent of GDP,,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2023,33,35,28,31,2022.0,25.930414,50.637772
Emerging Middle East,Bahrain,LP,BHR,Population,Persons,Millions,"Source: National Statistics Office. For data prior to 1990, the source is IFS - International Financial Statistics Latest actual data: 2022 Primary domestic currency: Bahrain dinar Data last updated: 09/2023",1,1,2,2,2022.0,25.930414,50.637772
Emerging Middle East,Armenia,NGDP,ARM,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2023,6543,6182,6983,8501,2022.0,40.069099,45.038189
Emerging Middle East,Armenia,NGDPD,ARM,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14,13,14,20,2022.0,40.069099,45.038189
Emerging Middle East,Armenia,PPPEX,ARM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",155,156,160,161,2022.0,40.069099,45.038189
Emerging Middle East,Armenia,NID_NGDP,ARM,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2023,17,20,21,22,2022.0,40.069099,45.038189
Emerging Middle East,Armenia,PCPIPCH,ARM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,7,9,2022.0,40.069099,45.038189
Emerging Middle East,Armenia,LP,ARM,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2020 Primary domestic currency: Armenian dram Data last updated: 09/2023,3,3,3,3,2020.0,40.069099,45.038189
Emerging Middle East,Azerbaijan,NGDP,AZE,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 09/2023",82,73,93,134,2022.0,40.143105,47.576927
