Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Asia,Samoa,LP,WSM,Population,Persons,Millions,Source: Asian Development Bank; Samoa Bureau of Statistics. Latest actual data: 2021 Primary domestic currency: Samoan tala Data last updated: 08/2023,0,0,0,0,2021.0,-13.759029,-172.104629
Emerging Asia,Samoa,NGDP,WSM,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2021/22 Notes: Data prior to 2000 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: July/June Base year: FY2012/13. Base year was updated from 2009 to 2013, affecting the data from 2009. Chain-weighted: No Primary domestic currency: Samoan tala Data last updated: 08/2023",2,2,2,2,2022.0,-13.759029,-172.104629
Emerging Asia,Samoa,NGDPD,WSM,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0,-13.759029,-172.104629
Emerging Asia,Samoa,PPPEX,WSM,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0,-13.759029,-172.104629
Emerging Asia,Samoa,PCPIPCH,WSM,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,1,-3,9,2022.0,-13.759029,-172.104629
Emerging Middle East,Iraq,NID_NGDP,IRQ,Total investment,Percent of GDP,,,0,0,0,0,,33.223191,43.679291
Emerging Middle East,Iraq,NGDP,IRQ,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: Other GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007. Base year rebased from 1988 to 2007 in end-2014. Chain-weighted: No Primary domestic currency: Iraqi dinar Data last updated: 09/2023,274884,216015,299240,378653,2022.0,33.223191,43.679291
Emerging Middle East,Iraq,NGDPD,IRQ,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",233,181,206,261,2022.0,33.223191,43.679291
Emerging Middle East,Iraq,PPPEX,IRQ,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",590,520,679,750,2022.0,33.223191,43.679291
Emerging Middle East,Iraq,PCPIPCH,IRQ,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,1,6,5,2022.0,33.223191,43.679291
