Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Latin America,HND,NGDP,Honduras,"Gross domestic product, current prices",National currency,Billions,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2023,615,586,684,777,2022.0
Emerging Latin America,HND,NGDPD,Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25,24,28,32,2022.0
Emerging Latin America,HND,PPPEX,Honduras,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",11,11,11,11,2022.0
Emerging Latin America,HND,NID_NGDP,Honduras,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2023,23,19,24,24,2022.0
Emerging Latin America,HND,PCPIPCH,Honduras,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,4,9,2022.0
Emerging Latin America,HND,LP,Honduras,Population,Persons,Millions,"Source: World Development Indicators, The World Bank Latest actual data: 2022 Primary domestic currency: Honduran lempira Data last updated: 09/2023",10,10,10,10,2022.0
Emerging Latin America,JAM,NGDP,Jamaica,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. CY data are constructed from quarterly data. Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 08/2023,2110,1967,2210,2623,2022.0
Emerging Latin America,JAM,NGDPD,Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16,14,15,17,2022.0
Emerging Latin America,JAM,PPPEX,Jamaica,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",70,72,74,78,2022.0
Emerging Latin America,JAM,NID_NGDP,Jamaica,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. CY data are constructed from quarterly data. Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 08/2023,24,20,19,24,2022.0
Emerging Latin America,JAM,PCPIPCH,Jamaica,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,5,6,10,2022.0
Emerging Latin America,JAM,LP,Jamaica,Population,Persons,Millions,Source: International Financial Institution. National Statistics Office if data is not yet available in IFS. Latest actual data: 2019 Primary domestic currency: Jamaican dollar Data last updated: 08/2023,3,3,3,3,2019.0
Emerging Latin America,MEX,PPPEX,Mexico,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",9,10,10,10,2022.0
Emerging Latin America,MEX,NID_NGDP,Mexico,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2023,22,20,21,23,2022.0
Emerging Latin America,MEX,PCPIPCH,Mexico,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,3,6,8,2022.0
Emerging Latin America,MEX,LP,Mexico,Population,Persons,Millions,Source: National Population Statistics Office (CONAPO) Latest actual data: 2020 Primary domestic currency: Mexican peso Data last updated: 09/2023,127,128,129,130,2020.0
Emerging Latin America,NIC,NGDP,Nicaragua,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2022. Real sector indicators may be lagged by one or two quarters Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023",421,435,498,562,2022.0
Emerging Latin America,NIC,NGDPD,Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13,13,14,16,2022.0
Emerging Latin America,NIC,PPPEX,Nicaragua,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",11,12,12,12,2022.0
Emerging Latin America,NIC,NID_NGDP,Nicaragua,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022. Real sector indicators may be lagged by one or two quarters Notes: Due to political and economic events (civil war and hyperinflation) data prior to 1995 are less reliable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1994. annual overlap Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023",18,19,23,22,2022.0
Emerging Latin America,NIC,PCPIPCH,Nicaragua,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,4,5,10,2022.0
Emerging Latin America,NIC,LP,Nicaragua,Population,Persons,Millions,Source: Central Bank Latest actual data: 2020 Primary domestic currency: Nicaraguan CÛrdoba Data last updated: 09/2023,7,6,7,7,2020.0
Emerging Latin America,SUR,NGDPD,Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4,3,3,4,2021.0
Emerging Latin America,PAN,NGDP,Panama,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018. The deflator in base year 2018 is not exactly 100 because of data splicing. In February 2023 the authorities published new national accounts with a base year of 2018. The new methodology uses chain-linked volume measures as opposed to constant prices. The authorities did not publish data for years before 2018 for the re-based series, but the team extended the series using the growth rates of the previous series with base 2007. Chain-weighted: Yes, from 2018 Primary domestic currency: US dollar Data last updated: 09/2023",70,57,67,77,2022.0
Emerging Latin America,PAN,NGDPD,Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",70,57,67,77,2022.0
Emerging Latin America,PAN,PPPEX,Panama,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2022.0
Emerging Latin America,TTO,NGDP,Trinidad and Tobago,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 Notes: Trinidad and Tobago's growth estimates for 2022 are preliminary data subject to further revisions by the authorities. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2023,156,136,162,203,2022.0
Emerging Latin America,PAN,NID_NGDP,Panama,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018. The deflator in base year 2018 is not exactly 100 because of data splicing. In February 2023 the authorities published new national accounts with a base year of 2018. The new methodology uses chain-linked volume measures as opposed to constant prices. The authorities did not publish data for years before 2018 for the re-based series, but the team extended the series using the growth rates of the previous series with base 2007. Chain-weighted: Yes, from 2018 Primary domestic currency: US dollar Data last updated: 09/2023",38,25,32,34,2022.0
Emerging Latin America,PAN,PCPIPCH,Panama,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,-2,2,3,2022.0
Emerging Latin America,PAN,LP,Panama,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: US dollar Data last updated: 09/2023,4,4,4,4,2022.0
Emerging Latin America,PRY,NGDP,Paraguay,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2022 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Paraguayan guaranÌ Data last updated: 09/2023",236682,239915,270634,291336,2022.0
Emerging Latin America,PRY,NGDPD,Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38,35,40,42,2022.0
Emerging Latin America,PRY,PPPEX,Paraguay,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2555,2578,2675,2689,2022.0
Emerging Latin America,PRY,NID_NGDP,Paraguay,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Paraguayan guaranÌ Data last updated: 09/2023",22,20,24,24,2022.0
Emerging Latin America,PRY,PCPIPCH,Paraguay,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,5,10,2022.0
Emerging Latin America,PER,NGDP,Peru,"Gross domestic product, current prices",National currency,Billions,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2023,776,720,876,938,2022.0
Emerging Latin America,PER,NGDPD,Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",232,206,226,245,2022.0
Emerging Latin America,PER,PPPEX,Peru,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Latin America,PER,NID_NGDP,Peru,Total investment,Percent of GDP,,Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2023,22,20,22,22,2022.0
Emerging Latin America,PER,LP,Peru,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Peruvian sol Data last updated: 09/2023,33,33,34,34,2017.0
Emerging Latin America,KNA,NGDP,St. Kitts and Nevis,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022. Preliminary. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,3,2,2,3,2022.0
Emerging Latin America,KNA,NGDPD,St. Kitts and Nevis,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2022.0
Emerging Latin America,KNA,PPPEX,St. Kitts and Nevis,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Latin America,KNA,NID_NGDP,St. Kitts and Nevis,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022. Preliminary. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,30,30,30,27,2022.0
Emerging Latin America,KNA,PCPIPCH,St. Kitts and Nevis,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,-1,1,3,2022.0
Emerging Latin America,KNA,LP,St. Kitts and Nevis,Population,Persons,Millions,Source: United Nations Latest actual data: 2015 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,0,0,0,0,2015.0
Emerging Latin America,TTO,NGDPD,Trinidad and Tobago,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23,20,24,30,2022.0
Emerging Latin America,LCA,NGDP,St. Lucia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,6,4,5,6,2022.0
Emerging Latin America,LCA,NGDPD,St. Lucia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Latin America,LCA,PPPEX,St. Lucia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,2,2022.0
Emerging Latin America,LCA,NID_NGDP,St. Lucia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,21,24,23,21,2022.0
Emerging Latin America,LCA,PCPIPCH,St. Lucia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-2,2,6,2022.0
Emerging Latin America,LCA,LP,St. Lucia,Population,Persons,Millions,Source: United Nations Latest actual data: 2022 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,0,0,0,0,2022.0
Emerging Middle East,DZA,PPPEX,Algeria,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",40,38,42,47,2022.0
Emerging Middle East,DZA,PCPIPCH,Algeria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,7,9,2022.0
Emerging Latin America,VCT,NGDP,St. Vincent and the Grenadines,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2021. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Real GDP at market prices begins in 2000 Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,2,2,2,3,2021.0
Emerging Latin America,VCT,NGDPD,St. Vincent and the Grenadines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2021.0
Emerging Latin America,VCT,PPPEX,St. Vincent and the Grenadines,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,1,1,2021.0
Emerging Latin America,VCT,NID_NGDP,St. Vincent and the Grenadines,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Real GDP at market prices begins in 2000 Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,25,28,33,36,2021.0
Emerging Latin America,VCT,PCPIPCH,St. Vincent and the Grenadines,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-1,2,6,2022.0
Emerging Latin America,VCT,LP,St. Vincent and the Grenadines,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2016 Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2023,0,0,0,0,2016.0
Emerging Latin America,SUR,NGDP,Suriname,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Surinamese dollar Data last updated: 09/2023",31,38,59,86,2021.0
Emerging Latin America,SUR,PPPEX,Suriname,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3,4,6,8,2021.0
Emerging Latin America,SUR,NID_NGDP,Suriname,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Latin America,SUR,PCPIPCH,Suriname,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,35,59,52,2021.0
Emerging Latin America,SUR,LP,Suriname,Population,Persons,Millions,Source: National Statistics Office. Data published by the National Statistics Office (National Accounts Tables). Latest actual data: 2021 Notes: As published by the Central Bank of Suriname Primary domestic currency: Surinamese dollar Data last updated: 09/2023,1,1,1,1,2021.0
Emerging Latin America,TTO,PPPEX,Trinidad and Tobago,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",4,4,4,5,2022.0
Emerging Latin America,TTO,PCPIPCH,Trinidad and Tobago,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,2,6,2022.0
Emerging Latin America,TTO,LP,Trinidad and Tobago,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2023,1,1,1,1,2021.0
Emerging Latin America,URY,NGDP,Uruguay,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2022 Notes: Data for years between 2016 and last actual for these series are reported by national authorities. Data prior to 2016 are the staff's estimates, representing best effort to preserve the previously reported growth rates and avoid structural breaks. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Uruguayan peso Data last updated: 08/2023",2188,2255,2675,2930,2022.0
Emerging Latin America,URY,NGDPD,Uruguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62,54,61,71,2022.0
Emerging Latin America,URY,PPPEX,Uruguay,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",26,28,30,30,2022.0
Emerging Middle East,DZA,NID_NGDP,Algeria,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2023",45,44,38,34,2022.0
Emerging Latin America,URY,NID_NGDP,Uruguay,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022 Notes: Data for years between 2016 and last actual for these series are reported by national authorities. Data prior to 2016 are the staff's estimates, representing best effort to preserve the previously reported growth rates and avoid structural breaks. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Uruguayan peso Data last updated: 08/2023",14,16,19,19,2022.0
Emerging Latin America,URY,PCPIPCH,Uruguay,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8,10,8,9,2022.0
Emerging Latin America,URY,LP,Uruguay,Population,Persons,Millions,Source: National Statistics Office. And World Bank World Development Indicators. Latest actual data: 2015 Primary domestic currency: Uruguayan peso Data last updated: 08/2023,4,4,4,4,2015.0
Emerging Latin America,VEN,NGDP,Venezuela,"Gross domestic product, current prices",National currency,Billions,"Source: Central Bank Latest actual data: 2018. Latest year for real accounts is 2018. Starting 2012, staff elaborates its own nominal GDP accounts estimates. Notes: Due to the prevalence of multiple exchange rates and a parallel market, for 2012-2022, staff has computed a generalized unitary exchange rate weighted by the value of imports and exports as well as by the different windows used to acquire foreign exchange. Starting in 2012, staff estimates the nominal GDP in local currency using real GDP levels published by the country and deflators calculated by staff. Nominal GDP in U.S. dollars is calculated dividing the local currency GDP by the generalized unitary exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023",1,14,189,643,2018.0
Emerging Latin America,VEN,NGDPD,Venezuela,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",73,44,58,92,2018.0
Emerging Latin America,VEN,PPPEX,Venezuela,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,1,3,2018.0
Emerging Latin America,VEN,NID_NGDP,Venezuela,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2018. Latest year for real accounts is 2018. Starting 2012, staff elaborates its own nominal GDP accounts estimates. Notes: Due to the prevalence of multiple exchange rates and a parallel market, for 2012-2022, staff has computed a generalized unitary exchange rate weighted by the value of imports and exports as well as by the different windows used to acquire foreign exchange. Starting in 2012, staff estimates the nominal GDP in local currency using real GDP levels published by the country and deflators calculated by staff. Nominal GDP in U.S. dollars is calculated dividing the local currency GDP by the generalized unitary exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1997 Chain-weighted: No Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023",0,0,0,0,2018.0
Emerging Latin America,VEN,PCPIPCH,Venezuela,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19906,2355,1589,187,2022.0
Emerging Latin America,VEN,LP,Venezuela,Population,Persons,Millions,Source: Ministry of Economy and/or Planning Latest actual data: 2010 Primary domestic currency: Venezuelan bolÌvar Data last updated: 08/2023,28,28,28,27,2010.0
Emerging Middle East,AFG,NGDP,Afghanistan,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2021 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. For 2021-22, the data source is the National Statistics and Information Authority and IMF Staff Estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Prior to 2016, national accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. From 2016, data is compiled on a new fiscal year basis that runs from December 21 to December 20. Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 09/2023",1470,1547,1233,0,2021.0
Emerging Middle East,AFG,NGDPD,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19,20,15,0,2021.0
Emerging Middle East,BHR,PCPIPCH,Bahrain,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,-2,-1,4,2022.0
Emerging Middle East,AFG,PPPEX,Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",18,19,18,0,2021.0
Emerging Middle East,AFG,NID_NGDP,Afghanistan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. For 2021-22, the data source is the National Statistics and Information Authority and IMF Staff Estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Prior to 2016, national accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. From 2016, data is compiled on a new fiscal year basis that runs from December 21 to December 20. Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 09/2023",18,16,0,0,2021.0
Emerging Middle East,AFG,PCPIPCH,Afghanistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,6,5,14,2022.0
Emerging Middle East,AFG,LP,Afghanistan,Population,Persons,Millions,Source: Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Afghan afghani Data last updated: 09/2023,32,33,34,34,2022.0
Emerging Middle East,DZA,NGDP,Algeria,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2023",20500,18477,22079,27689,2022.0
Emerging Middle East,DZA,LP,Algeria,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Primary domestic currency: Algerian dinar Data last updated: 09/2023,43,44,45,45,2019.0
Emerging Middle East,ARM,NGDP,Armenia,"Gross domestic product, current prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2023,6543,6182,6983,8501,2022.0
Emerging Middle East,ARM,NGDPD,Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14,13,14,20,2022.0
Emerging Middle East,ARM,PPPEX,Armenia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",155,156,160,161,2022.0
Emerging Middle East,ARM,NID_NGDP,Armenia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2023,17,20,21,22,2022.0
Emerging Middle East,ARM,PCPIPCH,Armenia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,1,7,9,2022.0
