Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,COM,PPPEX,Comoros,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",192,191,183,180,2021.0
Emerging Africa ,COM,NID_NGDP,Comoros,Total investment,Percent of GDP,,Source: National Statistics Office. National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Comorian franc Data last updated: 08/2023,16,18,17,12,2021.0
Emerging Africa ,COM,PCPIPCH,Comoros,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4,1,0,12,2021.0
Emerging Africa ,COM,LP,Comoros,Population,Persons,Millions,Source: IMF Staff Estimates. Latest census was 2003 Latest actual data: 2021 Primary domestic currency: Comorian franc Data last updated: 08/2023,1,1,1,1,2021.0
Emerging Africa ,COD,NGDPPC,Democratic Republic of the Congo,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",953910,993248,1216970,1365861,0.0
Emerging Africa ,COD,NGDPDPC,Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",579,536,611,680,0.0
Emerging Africa ,COD,PPPEX,Democratic Republic of the Congo,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",819,856,975,970,2020.0
Emerging Africa ,COD,NID_NGDP,Democratic Republic of the Congo,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005 Primary domestic currency: Congolese franc Data last updated: 09/2023",13,12,15,11,2020.0
Emerging Africa ,COD,PCPIPCH,Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,11,9,9,2022.0
Emerging Africa ,COD,LP,Democratic Republic of the Congo,Population,Persons,Millions,Source: UN Population Latest actual data: Not applicable Notes: There has not been a census since 1983. Primary domestic currency: Congolese franc Data last updated: 09/2023,88,91,94,97,0.0
Emerging Africa ,COG,NGDPPC,Republic of Congo,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1792867,1409983,1546163,1766666,2020.0
Emerging Africa ,COG,NGDPDPC,Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3060,2453,2790,2838,2020.0
